;Unnamed: 0;year;countryName;regionName;MH_12-Male;POP;CHILDMORT5TO14-Both sexes;CHILDMORT5TO14;CM_01-Female;CM_01-Both sexes;CM_01-Male;CM_01;CM_02-Both sexes;CM_02-Male;CM_02-Female;CM_02;CM_03-Both sexes;CM_03;MDG_0000000001-Both sexes;MDG_0000000001-Female;MDG_0000000001-Male;MDG_0000000001;MDG_0000000007-Both sexes;MDG_0000000007-Female;MDG_0000000007-Male;MDG_0000000007;MDG_0000000017;MDG_0000000020;MH_12-Both sexes;MH_12-Female;MH_12;NCD_DTH_TOT-Male;NCD_DTH_TOT-Female;NCD_DTH_TOT-Both sexes;NCD_DTH_TOT;NCD_UNDER70-Male;NCD_UNDER70-Female;NCD_UNDER70-Both sexes;NCD_UNDER70;NCDMORT3070-Female;NCDMORT3070-Male;NCDMORT3070-Both sexes;NCDMORT3070;RS_196-Male;RS_196-Female;RS_196-Both sexes;RS_196;RS_198-Female;RS_198-Male;RS_198-Both sexes;RS_198;SA_0000001400;SA_0000001688-Both sexes;SA_0000001688-Male;SA_0000001688-Female;SA_0000001688;SDG_SH_DTH_RNCOM-Male;SDG_SH_DTH_RNCOM-Both sexes;SDG_SH_DTH_RNCOM-Female;SDG_SH_DTH_RNCOM;SDGPOISON-Male;SDGPOISON-Female;SDGPOISON-Both sexes;SDGPOISON;SDGSUICIDE;TB_e_inc_num;TB_e_mort_exc_tbhiv_num;VIOLENCE_HOMICIDENUM-Both sexes;VIOLENCE_HOMICIDENUM-Male;VIOLENCE_HOMICIDENUM-Female;VIOLENCE_HOMICIDENUM;VIOLENCE_HOMICIDERATE-Both sexes;VIOLENCE_HOMICIDERATE-Male;VIOLENCE_HOMICIDERATE-Female;VIOLENCE_HOMICIDERATE;WHOSIS_000003-Both sexes;WHOSIS_000003;WHOSIS_000014;WHS2_131-Male;WHS2_131-Female;WHS2_131-Both sexes;WHS2_131;WHS4_100;WHS4_544;WHS8_110;WSH_SANITATION_BASIC;WSH_WATER_BASIC;WHOSIS_000016-Both sexes;WHOSIS_000016;HEMOGLOBINLEVEL_CHILDREN_MEAN;NCD_HYP_DIAGNOSIS_A-Both sexes;NCD_HYP_DIAGNOSIS_A-Female;NCD_HYP_DIAGNOSIS_A-Male;NCD_HYP_DIAGNOSIS_A;HEMOGLOBINLEVEL_PREGNANT_MEAN;NCD_HYP_PREVALENCE_A-Both sexes;NCD_HYP_PREVALENCE_A-Female;NCD_HYP_PREVALENCE_A-Male;NCD_HYP_PREVALENCE_A;NCD_HYP_PREVALENCE_C-Male;NCD_HYP_PREVALENCE_C-Both sexes;NCD_HYP_PREVALENCE_C-Female;NCD_HYP_PREVALENCE_C;NCD_HYP_CONTROL_A-Male;NCD_HYP_CONTROL_A-Both sexes;NCD_HYP_CONTROL_A-Female;NCD_HYP_CONTROL_A;NUTRITION_ANAEMIA_NONPREGNANT_-Female_x;NUTRITION_ANAEMIA_NONPREGNANT__x;NCD_HYP_CONTROL_C-Male;NCD_HYP_CONTROL_C-Female;NCD_HYP_CONTROL_C-Both sexes;NCD_HYP_CONTROL_C;NUTRITION_ANAEMIA_REPRODUCTIVE-Female_x;NUTRITION_ANAEMIA_REPRODUCTIVE_x;NCD_HYP_TREATMENT_A-Female;NCD_HYP_TREATMENT_A-Male;NCD_HYP_TREATMENT_A-Both sexes;NCD_HYP_TREATMENT_A;NUTRITION_ANAEMIA_REPRODUCTIVE-Female_y;NUTRITION_ANAEMIA_REPRODUCTIVE_y;NUTRITION_ANAEMIA_CHILDREN_NUM-Both sexes;NUTRITION_ANAEMIA_CHILDREN_NUM;NUTRITION_ANAEMIA_PREGNANT_NUM-Female;NUTRITION_ANAEMIA_PREGNANT_NUM;NUTRITION_ANAEMIA_CHILDREN_PRE-Both sexes;NUTRITION_ANAEMIA_CHILDREN_PRE;NCD_HYP_TREATMENT_C-Both sexes;NCD_HYP_TREATMENT_C-Female;NCD_HYP_TREATMENT_C-Male;NCD_HYP_TREATMENT_C;CHILDMORT_DEATHS_10TO14-Both sexes;CHILDMORT_DEATHS_10TO14;NCD_HYP_DIAGNOSIS_C-Both sexes;NCD_HYP_DIAGNOSIS_C-Female;NCD_HYP_DIAGNOSIS_C-Male;NCD_HYP_DIAGNOSIS_C;HEMOGLOBINLEVEL_REPRODUCTIVEAG;CM_04-Both sexes;CM_04;CHILDMORT_MORTALITY_10TO14-Both sexes;CHILDMORT_MORTALITY_10TO14;NUTRITION_ANAEMIA_NONPREGNANT_-Female_y;NUTRITION_ANAEMIA_NONPREGNANT__y;NUTRITION_ANAEMIA_PREGNANT_PRE-Female;NUTRITION_ANAEMIA_PREGNANT_PRE;HEMOGLOBINLEVEL_NONPREGNANT_ME;percent
880;880;2006;Lesotho;Africa;95.6455;1976780.0;11.43161;11.43161;3239.0;7079.0;3840.0;14158.0;4472.0;2489.0;1983.0;8944.0;2467.0;2467.0;74.45588;66.78669;81.68941;222.93198;116.46537;107.90935;124.56728;348.942;83.0;1230.0;55.3566;22.1199;173.122;5439.831;6038.108;11477.94;22955.879;69.71109;48.88137;58.75336;177.34582;32.80541;45.98411;39.09014;117.87966;437.2598;116.1257;553.3855;1106.771;11.30134;45.4346;27.80925;84.54519;5.54529;5.96384;10.29382;2.07332;18.33098;4073.1736;8948.771999999999;4875.5992;17897.5448;4.11128;2.80085;3.43462;10.34675;122.2605;24000.0;1700.0;916.4271;729.5024;186.9247;1832.8542;46.05316;75.8008;18.19149;140.04545;40.7878;40.7878;32.16833;1202.636;849.6982;995.4579;3047.7921;89.0;88.0;82.0;70.78476;215.24921;6.58001;6.58001;109.0;39.2;45.7;28.6;113.5;116.0;39.8;45.3;33.1;118.2;31.2;38.1;43.9;113.2;5.9;8.9;10.9;25.700000000000003;184.356;553.356;5.9;10.8;9.0;25.700000000000003;197.883;593.583;37.6;17.4;30.2;85.19999999999999;197.883;593.583;131.406;393.746;13.326;39.956;49.9;149.70000000000002;29.6;37.2;16.9;83.70000000000002;264.0;264.0;38.7;45.4;27.6;111.7;125.0;308.0;308.0;5.59543;5.59543;184.356;553.356;35.0;105.1;126.0;95.6455
881;881;2004;Lesotho;Africa;82.19621;1985384.0;11.88631;11.88631;3227.0;7051.0;3824.0;14102.0;4468.0;2486.0;1982.0;8936.0;2487.0;2487.0;73.03141;65.5776;80.09268;218.70169;114.50367;106.1754;122.41994;343.09901;82.0;1150.0;47.0599;18.0142;147.27031;5047.493;5337.346;10384.84;20769.679;68.61123;47.51117;57.76673;173.88913;29.67314;43.1676;36.1203;108.96104;430.4682;115.0605;545.5287;1091.0574;11.07834;44.49992;27.19549;82.77375;3.56598;4.49101;7.78286;1.56762;13.84149;3768.1993;8084.124999999999;4315.925499999999;16168.2498;3.68256;2.27923;2.95597;8.917760000000001;101.8178;23000.0;1700.0;921.4551;732.1895;189.2656;1842.9102;45.93602;75.69055;18.22302;139.84959;40.30597;40.30597;33.30741;1131.647;776.2272;923.0782;2830.9524;90.0;89.0;84.0;58.82301;213.36269;6.85323;6.85323;109.0;37.6;44.1;27.1;108.8;115.0;39.1;44.4;32.8;116.3;31.0;37.5;43.0;111.5;5.1;7.8;9.6;22.5;193.016;579.116;5.2;9.5;7.9;22.6;206.999;621.2990000000001;34.8;15.7;27.7;78.2;206.999;621.2990000000001;131.218;393.378;13.782;41.362;49.2;147.60000000000002;27.2;34.4;15.4;77.0;291.0;291.0;37.1;43.8;26.3;107.2;125.0;334.0;334.0;5.86882;5.86882;193.016;579.116;35.5;106.5;126.0;82.19621
882;882;2012;Lesotho;Africa;172.9289;2054718.0;10.1407;10.1407;2412.0;5328.0;2916.0;10656.0;4012.0;2229.0;1783.0;8024.0;2473.0;2473.0;70.17317;63.00895;76.84402;210.02614;92.69279;84.80006;99.97792;277.47077;60.0;1040.0;101.9589;40.7306;315.6184;7112.785;8452.754;15565.54;31131.079;75.0504;55.23993;64.29247;194.5828;40.41626;51.92275;45.72755;138.06656;443.4148;131.5852;575.0;1150.0;12.76032;45.07247;28.53615;86.36894000000001;4.94;5.15488;8.83314;1.73741;15.72543;5190.840400000001;11884.604;6693.7636;23769.208;6.4825;4.39361;5.41347;16.28958;239.476;21000.0;1200.0;791.1325;630.9779;160.1545;1582.2649;39.26239;64.13799;15.5308;118.93118;42.84727;42.84727;29.55377;1415.13;1072.919;1213.22;3701.269;95.0;93.0;91.0;105.47995;220.97216000000003;5.7437;5.7437;109.0;45.6;52.5;33.8;131.89999999999998;116.0;40.6;46.7;33.1;120.4;30.1;38.0;45.0;113.1;8.8;12.7;15.0;36.5;164.81300000000002;494.60300000000007;8.8;15.0;12.7;36.5;177.40200000000002;532.272;44.9;22.7;37.0;104.6;177.40200000000002;532.272;120.486;362.006;12.19;36.58;49.0;147.0;35.9;44.4;21.6;101.9;213.0;213.0;44.7;52.3;32.0;129.0;127.0;263.0;263.0;4.84418;4.84418;164.81300000000002;494.60300000000007;33.6;100.9;128.0;172.9289
883;883;2010;Lesotho;Africa;152.7446;2022747.0;10.56838;10.56838;2543.0;5606.0;3063.0;11212.0;4091.0;2275.0;1816.0;8182.0;2446.0;2446.0;70.90117;63.66106;77.79215;212.35438;96.42329;88.55832;104.01713;288.99874;64.0;1180.0;86.8905;30.7387;270.3738;6497.897;7409.73;13907.63;27815.257;74.45449;51.60197;62.27908;188.33554;36.754;50.41331;43.19677;130.36408;427.5823;124.4177;552.0;1104.0;12.13034;44.08514;27.6612;83.87668;5.5;6.37975;10.96113;2.18122;19.5221;4773.6929;10713.303;5939.6104;21426.6063;5.77559;3.59299;4.65379;14.02237;198.574;24000.0;1300.0;836.4346;667.7863;168.6484;1672.8693;41.91447;68.85098;16.44269;127.20814;42.02553;42.02553;30.36912;1355.63;965.6342;1127.561;3448.8252;93.0;92.0;88.0;94.10498;219.04957;6.02122;6.02122;109.0;43.3;50.0;31.9;125.2;116.0;40.6;46.5;33.3;120.4;30.8;38.5;45.3;114.6;7.7;11.4;13.6;32.7;170.46699999999998;510.957;7.7;13.5;11.3;32.5;183.226;550.0360000000001;42.7;20.9;34.9;98.5;183.226;550.0360000000001;121.668;365.278;12.459;37.429;48.7;146.10000000000002;34.1;42.4;20.1;96.6;223.0;223.0;42.7;49.9;30.5;123.1;126.0;275.0;275.0;5.08123;5.08123;170.46699999999998;510.957;34.1;102.3;127.0;152.7446
884;884;2019;Lesotho;Africa;146.8871;2225702.0;8.61006;8.61006;2298.0;5083.0;2785.0;10166.0;3973.0;2204.0;1769.0;7946.0;2515.0;2515.0;71.42851;64.34959;78.18904;213.96714;90.90027;83.15428;98.33192;272.38647000000003;57.0;654.0;87.4824;34.559;268.9285;7626.766;8477.314;16104.08;32208.16;74.2124;57.61101;65.4733;197.29671;37.47267;49.35137;42.73358;129.55762;530.7034;147.7867;678.4901;1356.9802;13.71796;50.64234;31.92493;96.28523;7.109999999999999;5.08471;8.64782;1.67319;15.40572;5538.294900000001;12201.804999999998;6663.5102;24403.6101;6.19648;4.2835;5.22677;15.70675;4468.324299999999;14000.0;1200.0;923.9038;732.7836;191.1202;1847.8076;43.47237;69.92583;17.74029;131.13849;44.83549;44.83549;27.90086;1339.813;999.6214;1137.235;3476.6694;87.0;87.0;90.0;143.8666;227.83236;4.74874;4.74874;109.0;53.5;60.8;40.8;155.1;115.0;40.1;46.8;32.1;119.0;28.3;36.8;44.8;109.9;13.9;18.3;20.8;53.0;171.031;513.491;13.7;20.7;18.1;52.5;183.201;549.481;51.1;29.4;43.6;124.1;183.201;549.481;129.936;389.816;11.77;35.33;51.4;154.2;41.8;50.3;27.4;119.5;176.0;176.0;52.1;60.5;38.1;150.7;127.0;213.0;213.0;4.1094;4.1094;171.031;513.491;33.5;100.4;128.0;146.8871
885;885;2005;Lesotho;Africa;82.7327;1977424.0;11.65227;11.65227;3255.0;7113.0;3858.0;14226.0;4489.0;2498.0;1991.0;8978.0;2479.0;2479.0;73.9709;66.38096;81.10204;221.4539;116.09375;107.58204;124.14145;347.81724;91.0;1200.0;46.7412;17.2391;146.713;5032.093;5465.521;10497.61;20995.224;68.55721;46.43966;57.04184;172.03871;30.18005;43.43879;36.49816;110.117;434.5435;115.8235;550.367;1100.734;11.22417;45.06759;27.57191;83.86367;3.88056;5.12054;8.85323;1.78333;15.7571;3771.1614;8220.811;4449.6504;16441.6228;3.71924;2.30655;2.98894;9.01473;102.2086;24000.0;1800.0;917.8082;729.406;188.4022;1835.6164;45.97973;75.64851;18.2576;139.88584;40.53552;40.53552;32.69903;1133.33;786.8603;930.3887;2850.579;89.0;88.0;83.0;64.8279;214.30089;6.72273;6.72273;109.0;38.4;44.9;27.8;111.1;116.0;39.5;44.8;33.0;117.3;31.1;37.8;43.5;112.4;5.5;8.4;10.2;24.1;188.826;566.0260000000001;5.5;10.2;8.4;24.1;202.593;607.793;36.2;16.6;28.9;81.69999999999999;202.593;607.793;130.659;392.269;13.567;40.737;49.5;148.5;28.4;35.8;16.1;80.29999999999998;277.0;277.0;37.9;44.6;27.0;109.5;125.0;319.0;319.0;5.72577;5.72577;188.826;566.0260000000001;35.2;105.7;126.0;82.7327
886;886;2009;Lesotho;Africa;148.1117;2009169.0;10.78435;10.78435;2787.0;6118.0;3331.0;12236.0;4280.0;2379.0;1901.0;8560.0;2446.0;2446.0;73.62886;66.17554;80.72038;220.52478;104.17917;96.02411;111.92328;312.12656000000004;67.0;1230.0;84.627;30.8152;263.5539;6389.8;7225.674;13615.47;27230.944;73.62365;51.85372;62.07044;187.54781;36.55949;49.95714;42.90778;129.42441;428.2799;123.7201;552.0;1104.0;12.07639;44.35118;27.73681;84.16438;5.834440000000001;6.90698;11.87789;2.37574;21.16061;4695.1211;10471.887;5776.7653;20943.7734;5.64389;3.5906;4.5869;13.82139;192.0664;24000.0;1300.0;844.6437;674.7403;169.9034;1689.2874;42.44153;69.87377;16.58437;128.89967;41.72462;41.72462;30.80348;1341.069;957.7809;1116.89;3415.7399000000005;91.0;89.0;84.0;88.34499;218.08636;6.16568;6.16568;109.0;42.2;48.8;31.0;122.0;116.0;40.5;46.3;33.4;120.2;31.0;38.5;45.0;114.5;7.2;10.7;12.9;30.8;172.79;518.22;7.2;12.8;10.7;30.7;185.796;557.366;41.5;20.0;33.7;95.2;185.796;557.366;123.97;371.93;12.606;37.806;49.2;147.7;33.0;41.2;19.3;93.5;232.0;232.0;41.6;48.6;29.7;119.9;126.0;284.0;284.0;5.20438;5.20438;172.79;518.22;34.2;102.6;127.0;148.1117
888;888;2007;Lesotho;Africa;108.0144;1983465.0;11.21125;11.21125;3144.0;6873.0;3729.0;13746.0;4381.0;2437.0;1944.0;8762.0;2457.0;2457.0;73.77653;66.23247;80.90992;220.91892;114.28206;105.86699;122.29633;342.44538;76.0;1230.0;61.2674;22.4297;191.7115;5724.604;6282.465;12007.07;24014.139;70.66193;48.64193;59.1404;178.44426;33.45994;47.40229;40.13338;120.99561;434.7524;118.2476;553.0;1106.0;11.5364;45.19584;27.83194;84.56418;5.69528;6.74006;11.61813;2.33808;20.69627;4273.9566;9357.132;5083.1755;18714.2641;4.52718;2.9125;3.69421;11.13389;136.5799;24000.0;1500.0;916.047;730.8336;185.2134;1832.094;46.10373;75.97575;18.06967;140.14915000000002;41.09626;41.09626;31.68452;1245.143;865.837;1023.739;3134.719;88.0;87.0;81.0;76.68481;216.18633;6.44699;6.44699;109.0;40.1;46.7;29.3;116.1;116.0;40.1;45.6;33.3;119.0;31.2;38.3;44.3;113.8;6.3;9.5;11.5;27.3;180.175;540.2550000000001;6.3;11.5;9.5;27.3;193.551;580.3509999999999;38.9;18.3;31.4;88.6;193.551;580.3509999999999;129.639;389.279;13.076;39.246;49.8;149.5;30.7;38.6;17.7;87.0;252.0;252.0;39.6;46.4;28.3;114.3;126.0;299.0;299.0;5.46603;5.46603;180.175;540.2550000000001;34.8;104.4;126.0;108.0144
890;890;2014;Lesotho;Africa;195.2249;2095242.0;9.73016;9.73016;2442.0;5383.0;2941.0;10766.0;4085.0;2266.0;1819.0;8170.0;2531.0;2531.0;71.90162;64.76077;78.72506;215.38745;94.24524;86.51168;101.66407;282.42099;54.0;853.0;116.1953;46.3431;357.7633;7943.411;9225.35;17168.76;34337.52099999999;76.73084;57.92527;66.62598;201.28209;42.92785;54.27689;48.13059;145.33533;465.0367;138.0061;603.0428;1206.0856;13.25707;46.39011;29.51104;89.15822;5.51;5.04129;8.60546;1.67886;15.32561;5757.276800000001;13038.302;7281.023700000001;26076.6025;7.2981;4.84191;6.04683;18.18684;279.96680000000003;17000.0;1100.0;854.1828;679.066;175.1167;1708.3655;41.80105;67.74078;16.82197;126.3638;44.09503;44.09503;29.00441;1501.039;1145.667;1292.073;3938.779;88.0;88.0;92.0;116.67007;222.89386;5.45997;5.45997;109.0;48.0;55.1;35.8;138.89999999999998;116.0;40.5;46.8;32.8;120.1;29.4;37.6;45.0;112.0;10.1;14.2;16.6;40.9;162.64800000000002;487.688;10.0;16.6;14.1;40.7;175.106;525.006;46.9;24.5;39.1;110.5;175.106;525.006;121.077;363.117;12.058;36.218;49.7;149.2;37.7;46.3;23.1;107.1;207.0;207.0;46.9;54.8;33.6;135.29999999999998;127.0;245.0;245.0;4.61745;4.61745;162.64800000000002;487.688;33.4;100.3;128.0;195.2249
891;891;2017;Lesotho;Africa;163.9502;2170617.0;9.07052;9.07052;2318.0;5138.0;2820.0;10276.0;4114.0;2282.0;1832.0;8228.0;2570.0;2570.0;73.13414;65.8265;80.02531;218.98595;90.96767;82.94392;98.45542;272.36701;46.0;681.0;96.2889;35.8498;296.0889;7720.152;8557.397;16277.55;32555.099;75.0114;56.64045;65.35346;197.00531;38.54333;51.00883;44.18437;133.73653000000002;694.0685;196.4166;890.4851;1780.9701999999995;18.50595;67.37469;42.57573;128.45637;5.859999999999999;4.97182;8.45966;1.63939;15.07087;5591.1386;12336.489;6745.3503;24672.9779;6.44476;4.17827;5.2946;15.91763;236.3871;14000.0;970.0;948.8083;753.8599;194.9484;1897.6166;45.36427;73.17877;18.36762;136.91066;45.2471;45.2471;28.37379;1394.574;1024.975;1176.695;3596.244;87.0;87.0;90.0;133.12169999999998;225.83153;5.03596;5.03596;109.0;51.3;58.6;38.8;148.7;116.0;40.3;46.8;32.4;119.5;28.7;37.1;44.9;110.7;12.2;16.5;19.0;47.7;163.97400000000002;491.884;12.0;18.9;16.3;47.2;176.23700000000002;528.8870000000001;49.5;27.4;41.8;118.7;176.23700000000002;528.8870000000001;126.727;380.427;11.862;35.622;50.5;151.5;40.1;48.8;25.7;114.6;189.0;189.0;50.1;58.3;36.3;144.7;127.0;222.0;222.0;4.30408;4.30408;163.97400000000002;491.884;33.3;99.9;128.0;163.9502
893;893;2016;Lesotho;Africa;180.1055;2143872.0;9.29526;9.29526;2340.0;5185.0;2845.0;10370.0;4116.0;2284.0;1832.0;8232.0;2572.0;2572.0;72.88469;65.59717;79.85484;218.3367;91.45135;83.44628;99.04227;273.9399;47.0;721.0;107.1207;41.9382;329.1644;7944.819;9029.813;16974.63;33949.262;76.15486;57.97816;66.48559;200.61861;41.07804;52.69146;46.33766;140.10716;495.0937;143.6043;638.698;1277.396;13.62604;48.48417;30.78002;92.89023;5.9;4.95819;8.44201;1.63864;15.03884;5738.2085;12844.509999999998;7106.301100000001;25689.0196;6.94552;4.57735;5.74275;17.26562;262.6263;15000.0;970.0;941.5688;749.1557;192.4131;1883.1376;45.37592;73.36428;18.25732;136.99752;45.08873;45.08873;28.62425;1451.406;1094.527;1240.627;3786.56;87.0;87.0;90.0;127.6823;224.84495;5.18856;5.18856;109.0;50.2;57.5;37.8;145.5;116.0;40.4;46.8;32.5;119.7;28.9;37.2;45.0;111.1;11.5;15.7;18.2;45.4;162.84;488.61;11.3;18.1;15.6;45.0;175.175;525.7850000000001;48.7;26.4;40.9;116.0;175.175;525.7850000000001;124.921;374.821;11.935;35.765;50.3;150.89999999999998;39.4;48.0;24.8;112.2;196.0;196.0;49.0;57.2;35.4;141.6;127.0;228.0;228.0;4.40098;4.40098;162.84;488.61;33.3;100.0;128.0;180.1055
894;894;2015;Lesotho;Africa;191.537;2118521.0;9.51394;9.51394;2442.0;5387.0;2945.0;10774.0;4113.0;2282.0;1831.0;8226.0;2558.0;2558.0;72.59559;65.36776;79.50399;217.46734;94.61162;86.74218;102.06188;283.41568;52.0;780.0;114.4881;45.897;351.9221;8024.958;9278.914;17303.87;34607.742;77.14781;58.71174;67.26177;203.12132000000005;42.75567;53.97073;47.85299;144.57939;479.1578;141.6038;620.7616;1241.5232;13.52366;47.35093;30.14853;91.02312;6.14;5.06287;8.62936;1.67849;15.37072;5807.926299999999;13125.668;7317.7423;26251.3366;7.18172;4.80042;5.97075;17.95289;279.051;16000.0;1100.0;933.6349;741.6023;192.0325;1867.2697;45.34385;73.286;18.33978;136.96963;44.69212;44.69212;28.84927;1491.09;1140.914;1284.276;3916.28;83.0;85.0;93.0;122.19844;223.86585;5.32486;5.32486;109.0;49.1;56.3;36.8;142.2;116.0;40.5;46.8;32.7;120.0;29.1;37.4;45.1;111.6;10.8;14.9;17.4;43.1;162.394;486.884;10.6;17.3;14.8;42.7;174.796;524.226;47.8;25.5;40.0;113.3;174.796;524.226;122.641;368.271;12.002;36.012;50.3;150.89999999999998;38.6;47.2;24.0;109.8;202.0;202.0;48.0;56.0;34.5;138.5;127.0;235.0;235.0;4.50566;4.50566;162.394;486.884;33.4;100.20000000000002;128.0;191.537
895;895;2008;Lesotho;Africa;133.8381;1995014.0;10.98993;10.98993;3070.0;6724.0;3654.0;13448.0;4526.0;2513.0;2013.0;9052.0;2449.0;2449.0;77.05569;69.32422;84.39117;230.77108;113.03277;104.51796;121.2443;338.79503;70.0;1240.0;77.7903;30.7438;242.3722;6153.087;7066.118;13219.21;26438.415;72.48984;51.87693;61.47153;185.8383;36.62042;49.1118;42.53475;128.26697;426.5688;122.4312;549.0;1098.0;11.95462;44.29596;27.62778;83.87836;5.816190000000001;6.89755;11.87491;2.38408;21.15654;4544.2172;10198.967;5654.750599999999;20397.934800000003;5.2511;3.52778;4.36293;13.14181;175.32049999999998;25000.0;1400.0;868.4031;692.0482;176.3548;1736.8061;43.70137;71.86401;17.21992;132.7853;41.39835;41.39835;31.22226;1308.829;955.2012;1101.555;3365.5851999999995;88.0;86.0;80.0;82.53832;217.13221;6.30485;6.30485;109.0;41.1;47.7;30.1;118.9;116.0;40.3;46.0;33.3;119.6;31.1;38.4;44.7;114.2;6.8;10.1;12.2;29.1;176.185;528.5250000000001;6.8;12.1;10.1;29.0;189.304;568.194;40.2;19.1;32.6;91.9;189.304;568.194;127.748;383.538;12.819;38.439;49.9;149.70000000000002;31.9;39.9;18.5;90.3;241.0;241.0;40.6;47.5;29.0;117.1;126.0;291.0;291.0;5.33521;5.33521;176.185;528.5250000000001;34.5;103.5;127.0;133.8381
896;896;2013;Lesotho;Africa;188.2344;2073939.0;9.93416;9.93416;2401.0;5300.0;2899.0;10600.0;4043.0;2244.0;1799.0;8086.0;2502.0;2502.0;70.96066;63.81349;77.73122;212.50537000000003;92.55065;84.79723;99.92193;277.26981;58.0;948.0;111.4236;44.2315;343.8895;7593.325;8916.567;16509.89;33019.782;76.00607;56.66385;65.55983;198.22975;42.05753;53.40426;47.28252;142.74430999999998;449.8379;134.3498;584.1877;1168.3754;12.97244;45.30674;28.7986;87.07777999999999;5.109999999999999;5.022;8.58935;1.68225;15.2936;5516.8439;12567.515;7050.670999999999;25135.0299;7.0117;4.66058;5.81134;17.483620000000002;265.0759;19000.0;1200.0;799.6254;636.6598;162.9656;1599.2508;39.419;64.12305;15.7355;119.27755;43.47992;43.47992;29.19957;1469.204;1119.46;1263.736;3852.4;93.0;90.0;90.0;111.09725;221.92942;5.60099;5.60099;109.0;46.8;53.8;34.8;135.39999999999998;116.0;40.6;46.8;33.0;120.4;29.7;37.8;45.0;112.5;9.5;13.4;15.8;38.7;163.164;489.884;9.4;15.8;13.4;38.6;175.772;527.462;45.9;23.6;38.1;107.6;175.772;527.462;120.453;361.973;12.108;36.318;49.3;147.89999999999998;36.8;45.4;22.3;104.5;209.0;209.0;45.8;53.5;32.8;132.1;127.0;255.0;255.0;4.7279;4.7279;163.164;489.884;33.5;100.4;128.0;188.2344
897;897;2018;Lesotho;Africa;158.3508;2198017.0;8.84915;8.84915;2301.0;5092.0;2791.0;10184.0;4033.0;2236.0;1797.0;8066.0;2545.0;2545.0;72.07627;64.8508;78.73797;215.66504000000003;90.5812;82.71936;97.91021;271.21077;50.0;659.0;93.0725;34.6008;286.0241;7742.75;8481.58;16224.33;32448.66;74.63479;56.88748;65.35704;196.87931;37.75525;50.3643;43.42498;131.54452999999998;521.2826;145.6919;666.9744;1333.9489;13.62526;50.1692;31.63525;95.42971;6.8;5.08471;8.64782;1.67319;15.40572;5607.0996;12281.28;6674.18;24562.5596;6.4483;4.25562;5.33624;16.04016;231.05611;14000.0;1100.0;917.22;727.9847;189.2353;1834.44;43.50463;70.06259;17.69748;131.2647;45.06983;45.06983;28.18944;1374.792;1005.98;1156.96;3537.732;87.0;87.0;90.0;138.51650999999998;226.82737;4.8962;4.8962;109.0;52.4;59.7;39.8;151.89999999999998;116.0;40.2;46.8;32.2;119.2;28.5;36.9;44.8;110.2;13.0;17.4;19.9;50.3;166.926;500.976;12.8;19.8;17.2;49.8;179.136;537.816;50.3;28.4;42.7;121.4;179.136;537.816;128.012;384.002;11.811;35.431;50.7;152.10000000000002;41.0;49.5;26.5;117.0;182.0;182.0;51.1;59.4;37.2;147.7;127.0;217.0;217.0;4.20607;4.20607;166.926;500.976;33.3;99.9;128.0;158.3508
899;899;2011;Lesotho;Africa;156.9247;2037677.0;10.35275;10.35275;2461.0;5423.0;2962.0;10846.0;3961.0;2203.0;1758.0;7922.0;2457.0;2457.0;69.02696;61.93298;75.70126;206.6612;93.87667;86.146;101.14597;281.16864;64.0;1120.0;91.0699;34.8901;282.8847;6679.419;7824.968;14504.39;29008.777;74.29982;53.18091;62.90639;190.38712;38.07226;50.63716;43.92683;132.63625;425.7187;124.2813;550.0;1100.0;12.09148;43.62091;27.44794;83.16033;4.76;5.76426;9.89236;1.9571;17.61372;4901.652;11133.073;6231.421;22266.146;5.95777;3.95635;4.93114;14.84526;210.7201;22000.0;1300.0;813.3559;649.6797;163.6761;1626.7117;40.59081;66.56889;15.92425;123.08395;42.41463;42.41463;29.86678;1366.114;1005.345;1153.469;3524.928;96.0;95.0;92.0;99.81814;220.02178;5.88239;5.88239;109.0;44.4;51.3;32.8;128.5;116.0;40.6;46.6;33.2;120.4;30.4;38.3;45.2;113.9;8.3;12.0;14.3;34.6;167.509;502.529;8.2;14.2;12.0;34.4;180.119;540.139;43.8;21.8;36.0;101.6;180.119;540.139;120.774;362.604;12.311;36.921;48.7;146.10000000000002;35.0;43.4;20.8;99.2;217.0;217.0;43.7;51.0;31.3;126.0;127.0;270.0;270.0;4.96408;4.96408;167.509;502.529;33.8;101.4;128.0;156.9247
